unit;quantity_kg_no_livestock
10 kg                                             ;10
15 kg                                             ;15
150 kg                                            ;150
2 kg                                              ;2
20 kg                                             ;20
25 kg                                             ;25
250 kg                                            ;250
40 kg                                             ;40
50 kg                                             ;50
500 kg                                            ;500
200 kg                                            ;200
Tonnes                                            ;1000
Articulator/Remorque (4 axles)                    ;31000
Articulator/Remorque (5 axles)                    ;38500
Articulator/Remorque (6 axles)                    ;46000
Articulator/Remorque (7 axles)                    ;56500
