unit;quantity_kg_no_livestock
kg                                                ;1
Tonne                                             ;1000
105 kg                                            ;105
150 kg                                            ;150
160 kg                                            ;160
2 kg                                              ;2
20 kg                                             ;20
200 kg                                            ;200
210 kg                                            ;210
30 kg                                             ;30
400 Kg                                            ;400
450 kg                                            ;450
50 kg                                             ;50
Articulator/Remorque (4 axles)                    ;31000
Articulator/Remorque (5 axles)                    ;38500
Articulator/Remorque (6 axles)                    ;46000
Articulator/Remorque (7 axles)                    ;56500
Articulator/Remorque (unspecified)                ;43000
300 kg                                            ;300
tonne                                             ;1000
