unit;quantity_kg_no_livestock
kg                                                ;1
Tonnes                                            ;1000
10 kg                                             ;10
20 kg                                             ;20
25 kg                                             ;25
80 kg                                             ;80
Articulator (4 axles)                             ;31000
Articulator (5 axles)                             ;38500
Articulator (6 axles)                             ;46000
Articulator (7 axles)                             ;56500
125 kg                                            ;125
