unit;quantity_kg_no_livestock
kg                                                ;1
Tonnes                                            ;1000
10 kg                                             ;10
20 kg                                             ;20
25 kg                                             ;25
30 kg                                             ;30
50 kg                                             ;50
75 kg                                             ;75
90 kg                                             ;90
Articulator (4 axles)                             ;31000
Articulator (5 axles)                             ;38500
Articulator (6 axles)                             ;46000
Articulator (7 axles)                             ;56500
