commodity_id;commodity_name;unit;quantity_kg_no_livestock
27;Cattle                                                                                              ;Articulator/Remorque (unspecified)                ;40
27;Cattle                                                                                              ;Articulator/Remorque (4 axles)                    ;40
27;Cattle                                                                                              ;Articulator/Remorque (5 axles)                    ;40
27;Cattle                                                                                              ;Articulator/Remorque (6 axles)                    ;40
27;Cattle                                                                                              ;Articulator/Remorque (7 axles)                    ;40
27;Cattle                                                                                              ;Taximoto (motorking)                              ;1
27;Cattle                                                                                              ;Pick-up                                           ;1
27;Cattle                                                                                              ;Taxi                                              ;1
27;Cattle                                                                                              ;Truck                                             ;20
144;Chicken                                                                                             ;Motorbike                                         ;200
144;Chicken                                                                                             ;Porte bagage (Sotrama)                            ;500
144;Chicken                                                                                             ;Sotrama                                           ;500
144;Chicken                                                                                             ;Taximoto (motorking)                              ;400
144;Chicken                                                                                             ;Truck/Camion (2 axles)                            ;11500
144;Chicken                                                                                             ;Truck/Camion (3 axles)                            ;11500
26;Goat                                                                                                ;50 kg sack                                        ;2
26;Goat                                                                                                ;Articulator/Remorque (unspecified)                ;200
26;Goat                                                                                                ;Articulator/Remorque (4 axles)                    ;200
26;Goat                                                                                                ;Articulator/Remorque (5 axles)                    ;200
26;Goat                                                                                                ;Articulator/Remorque (6 axles)                    ;200
26;Goat                                                                                                ;Articulator/Remorque (7 axles)                    ;200
26;Goat                                                                                                ;Motorbike                                         ;1
26;Goat                                                                                                ;Taximoto (motorking)                              ;10
26;Goat                                                                                                ;Sotrama                                           ;50
26;Goat                                                                                                ;Porte bagage (Sotrama)                            ;15
26;Goat                                                                                                ;Truck                                             ;150
26;Goat                                                                                                ;Truck/Camion (2 axles)                            ;150
26;Goat                                                                                                ;Truck/Camion (3 axles)                            ;150
30;Sheep                                                                                               ;100 kg sack                                       ;4
30;Sheep                                                                                               ;25 kg sack                                        ;1
30;Sheep                                                                                               ;50 kg sack                                        ;2
30;Sheep                                                                                               ;Articulator/Remorque (unspecified)                ;200
30;Sheep                                                                                               ;Articulator/Remorque (4 axles)                    ;200
30;Sheep                                                                                               ;Articulator/Remorque (5 axles)                    ;200
30;Sheep                                                                                               ;Articulator/Remorque (6 axles)                    ;200
30;Sheep                                                                                               ;Articulator/Remorque (7 axles)                    ;200
30;Sheep                                                                                               ;Bus                                               ;100
30;Sheep                                                                                               ;Motorbike                                         ;1
30;Sheep                                                                                               ;Taximoto (motorking)                              ;10
30;Sheep                                                                                               ;Pick-up                                           ;10
30;Sheep                                                                                               ;Sotrama                                           ;50
30;Sheep                                                                                               ;Porte bagage (Sotrama)                            ;15
30;Sheep                                                                                               ;Truck                                             ;150
30;Sheep                                                                                               ;Truck/Camion (2 axles)                            ;150
30;Sheep                                                                                               ;Truck/Camion (3 axles)                            ;150
144;Chicken                                                                                             ;Cage (big)                                        ;100
144;Chicken                                                                                             ;Cage (medium)                                     ;60
144;Chicken                                                                                             ;Cage (small)                                      ;40
27;Cattle                                                                                              ;Animal                                            ;1
144;Chicken                                                                                             ;Animal                                            ;1
26;Goat                                                                                                ;Animal                                            ;1
30;Sheep                                                                                               ;Animal                                            ;1
144;Chicken                                                                                             ;Pick-up                                           ;300
29;Banana                                                                                              ;Bunch (Regime)                                    ;20
84;Mango                                                                                               ;Piece                                             ;0.5
21;Watermelon                                                                                          ;Piece                                             ;8.75
95;Potato                                                                                              ;Tuber                                             ;0.15
32;Sweet potato                                                                                        ;Tuber                                             ;0.3
6;Yam                                                                                                 ;Tuber                                             ;3
11;Cabbage                                                                                             ;Piece                                             ;0.73
27;Cattle                                                                                              ;Truck/Camion (3 axles)                            ;20
27;Cattle                                                                                              ;Truck/Camion (2 axles)                            ;20
26;Goat                                                                                                ;100 kg sack                                       ;4
40;Guinew fowl                                                                                         ;Cage (big)                                        ;100
40;Guinew fowl                                                                                         ;Cage (medium)                                     ;60
40;Guinew fowl                                                                                         ;Cage (small)                                      ;40
23;Orange                                                                                              ;Piece                                             ;0.1
28;Plantain                                                                                            ;Bunch (Regime)                                    ;25
97;Zucchini                                                                                            ;Piece                                             ;0.4
49;Pawpaw (papaya)                                                                                     ;Piece                                             ;0.5
59;Pig                                                                                                 ;Animal                                            ;1
61;Pineapple                                                                                           ;Piece                                             ;1.138
