commodity_id;commodity_name;unit;quantity_kg_no_livestock
29;Banana                                                                                              ;Bunch                                             ;20
11;Cabbage                                                                                             ;Piece                                             ;0.728
7;Cassava                                                                                             ;Tuber                                             ;2.046
7;Cassava                                                                                             ;Piece                                             ;2.046
27;Cattle                                                                                              ;Animal                                            ;1
27;Cattle                                                                                              ;Articulator (4 axles)                             ;40
27;Cattle                                                                                              ;Articulator (5 axles)                             ;40
27;Cattle                                                                                              ;Articulator (6 axles)                             ;40
27;Cattle                                                                                              ;Articulator (7 axles)                             ;40
27;Cattle                                                                                              ;Pick-up                                           ;1
27;Cattle                                                                                              ;Taxi                                              ;1
27;Cattle                                                                                              ;Motorking                                         ;1
27;Cattle                                                                                              ;Truck                                             ;20
27;Cattle                                                                                              ;Kia (normal)                                      ;20
27;Cattle                                                                                              ;Kia Rhino (2 axles)                               ;20
27;Cattle                                                                                              ;Kia Rhino (3 axles)                               ;20
27;Cattle                                                                                              ;MAN Diesel (3 axles)                              ;20
144;Chicken                                                                                             ;Animal                                            ;1
144;Chicken                                                                                             ;Cage (l)                                          ;30
144;Chicken                                                                                             ;Cage (m)                                          ;20
144;Chicken                                                                                             ;Cage (s)                                          ;10
144;Chicken                                                                                             ;Motorbike                                         ;200
144;Chicken                                                                                             ;Pick-up                                           ;300
144;Chicken                                                                                             ;Motorking                                         ;400
144;Chicken                                                                                             ;Truck (2 axles)                                   ;11500
144;Chicken                                                                                             ;Truck (3 axles)                                   ;11500
90;Cucumber                                                                                            ;Piece                                             ;0.378
12;Eggplant (garden egg) (aubergine)                                                                   ;Piece                                             ;0.287
26;Goat                                                                                                ;50 kg sack                                        ;2
26;Goat                                                                                                ;Animal                                            ;1
26;Goat                                                                                                ;Articulator (4 axles)                             ;200
26;Goat                                                                                                ;Articulator (5 axles)                             ;200
26;Goat                                                                                                ;Articulator (6 axles)                             ;200
26;Goat                                                                                                ;Articulator (7 axles)                             ;200
26;Goat                                                                                                ;Kia (normal)                                      ;150
26;Goat                                                                                                ;Kia Rhino (2 axles)                               ;150
26;Goat                                                                                                ;Motorking                                         ;10
26;Goat                                                                                                ;Truck                                             ;150
26;Goat                                                                                                ;Truck (2 axles)                                   ;150
26;Goat                                                                                                ;Truck (3 axles)                                   ;150
40;Guinea fowl (Pintande)                                                                              ;Animal                                            ;1
40;Guinea fowl (Pintande)                                                                              ;Cage (l)                                          ;30
40;Guinea fowl (Pintande)                                                                              ;Cage (m)                                          ;20
40;Guinea fowl (Pintande)                                                                              ;Cage (s)                                          ;10
84;Mango                                                                                               ;Piece                                             ;0.5
23;Orange                                                                                              ;Piece                                             ;0.1
61;Pineapple                                                                                           ;Piece                                             ;1.138
61;Pineapple                                                                                           ;Tanker                                            ;227.6
28;Plantain                                                                                            ;Bunch                                             ;25
95;Potato                                                                                              ;Tuber                                             ;0.15
30;Sheep                                                                                               ;100 kg sack                                       ;4
30;Sheep                                                                                               ;25 kg sack                                        ;1
30;Sheep                                                                                               ;50 kg sack                                        ;2
30;Sheep                                                                                               ;Animal                                            ;1
30;Sheep                                                                                               ;Articulator (4 axles)                             ;200
30;Sheep                                                                                               ;Articulator (5 axles)                             ;200
30;Sheep                                                                                               ;Articulator (6 axles)                             ;200
30;Sheep                                                                                               ;Articulator (7 axles)                             ;200
30;Sheep                                                                                               ;Bus                                               ;100
30;Sheep                                                                                               ;Pick-up                                           ;10
30;Sheep                                                                                               ;Motorking                                         ;10
30;Sheep                                                                                               ;Truck                                             ;150
30;Sheep                                                                                               ;Truck (2 axles)                                   ;150
30;Sheep                                                                                               ;Truck (3 axles)                                   ;150
30;Sheep                                                                                               ;Makola sack                                       ;4
32;Sweet potato                                                                                        ;Tuber                                             ;0.3
21;Watermelon                                                                                          ;Piece                                             ;4.314
6;Yam                                                                                                 ;Tuber                                             ;3
97;Zucchini                                                                                            ;Piece                                             ;0.4
49;Pawpaw (papaya)                                                                                     ;Piece                                             ;0.5
59;Pig                                                                                                 ;Kia Rhino (3 axles)                               ;150
59;Pig                                                                                                 ;MAN Diesel (3 axles)                              ;150
59;Pig                                                                                                 ;Truck                                             ;150
59;Pig                                                                                                 ;Animal                                            ;1
27;Cattle                                                                                              ;Benz cargo truck (2 axles)                        ;20
6;Yam                                                                                                 ;Piece                                             ;3
