duplicate_id;duplicate_reason
8183;village_mkt_flows_to_other_destinations                                                             
8791;village_mkt_flows_to_other_destinations                                                             
8792;village_mkt_flows_to_other_destinations                                                             
8794;village_mkt_flows_to_other_destinations                                                             
8796;village_mkt_flows_to_other_destinations                                                             
8959;village_mkt_flows_to_other_destinations                                                             
17764;village_mkt_flows_to_other_destinations                                                             
17783;village_mkt_flows_to_other_destinations                                                             
17784;village_mkt_flows_to_other_destinations                                                             
17785;village_mkt_flows_to_other_destinations                                                             
17786;village_mkt_flows_to_other_destinations                                                             
18018;village_mkt_flows_to_other_destinations                                                             
18019;village_mkt_flows_to_other_destinations                                                             
18020;village_mkt_flows_to_other_destinations                                                             
18021;village_mkt_flows_to_other_destinations                                                             
18074;village_mkt_flows_to_other_destinations                                                             
18075;village_mkt_flows_to_other_destinations                                                             
18218;village_mkt_flows_to_other_destinations                                                             
18242;village_mkt_flows_to_other_destinations                                                             
20237;village_mkt_flows_to_other_destinations                                                             
20238;village_mkt_flows_to_other_destinations                                                             
20239;village_mkt_flows_to_other_destinations                                                             
20240;village_mkt_flows_to_other_destinations                                                             
20243;village_mkt_flows_to_other_destinations                                                             
20244;village_mkt_flows_to_other_destinations                                                             
20245;village_mkt_flows_to_other_destinations                                                             
20246;village_mkt_flows_to_other_destinations                                                             
20254;village_mkt_flows_to_other_destinations                                                             
20256;village_mkt_flows_to_other_destinations                                                             
20262;village_mkt_flows_to_other_destinations                                                             
20272;village_mkt_flows_to_other_destinations                                                             
20282;village_mkt_flows_to_other_destinations                                                             
20283;village_mkt_flows_to_other_destinations                                                             
20310;village_mkt_flows_to_other_destinations                                                             
20312;village_mkt_flows_to_other_destinations                                                             
20314;village_mkt_flows_to_other_destinations                                                             
20318;village_mkt_flows_to_other_destinations                                                             
20321;village_mkt_flows_to_other_destinations                                                             
20323;village_mkt_flows_to_other_destinations                                                             
20324;village_mkt_flows_to_other_destinations                                                             
20325;village_mkt_flows_to_other_destinations                                                             
20326;village_mkt_flows_to_other_destinations                                                             
20327;village_mkt_flows_to_other_destinations                                                             
20345;village_mkt_flows_to_other_destinations                                                             
20371;village_mkt_flows_to_other_destinations                                                             
20377;village_mkt_flows_to_other_destinations                                                             
20381;village_mkt_flows_to_other_destinations                                                             
20400;village_mkt_flows_to_other_destinations                                                             
20781;village_mkt_flows_to_other_destinations                                                             
20791;village_mkt_flows_to_other_destinations                                                             
20792;village_mkt_flows_to_other_destinations                                                             
20794;village_mkt_flows_to_other_destinations                                                             
20795;village_mkt_flows_to_other_destinations                                                             
20796;village_mkt_flows_to_other_destinations                                                             
20797;village_mkt_flows_to_other_destinations                                                             
20798;village_mkt_flows_to_other_destinations                                                             
20799;village_mkt_flows_to_other_destinations                                                             
20800;village_mkt_flows_to_other_destinations                                                             
20801;village_mkt_flows_to_other_destinations                                                             
20802;village_mkt_flows_to_other_destinations                                                             
20805;village_mkt_flows_to_other_destinations                                                             
20806;village_mkt_flows_to_other_destinations                                                             
20809;village_mkt_flows_to_other_destinations                                                             
20812;village_mkt_flows_to_other_destinations                                                             
20813;village_mkt_flows_to_other_destinations                                                             
20815;village_mkt_flows_to_other_destinations                                                             
20816;village_mkt_flows_to_other_destinations                                                             
20819;village_mkt_flows_to_other_destinations                                                             
20823;village_mkt_flows_to_other_destinations                                                             
20825;village_mkt_flows_to_other_destinations                                                             
20826;village_mkt_flows_to_other_destinations                                                             
20828;village_mkt_flows_to_other_destinations                                                             
20831;village_mkt_flows_to_other_destinations                                                             
20863;village_mkt_flows_to_other_destinations                                                             
20867;village_mkt_flows_to_other_destinations                                                             
20868;village_mkt_flows_to_other_destinations                                                             
20899;village_mkt_flows_to_other_destinations                                                             
20900;village_mkt_flows_to_other_destinations                                                             
20912;village_mkt_flows_to_other_destinations                                                             
20929;village_mkt_flows_to_other_destinations                                                             
20941;village_mkt_flows_to_other_destinations                                                             
20946;village_mkt_flows_to_other_destinations                                                             
20947;village_mkt_flows_to_other_destinations                                                             
20955;village_mkt_flows_to_other_destinations                                                             
20978;village_mkt_flows_to_other_destinations                                                             
21107;village_mkt_flows_to_other_destinations                                                             
21108;village_mkt_flows_to_other_destinations                                                             
21128;village_mkt_flows_to_other_destinations                                                             
21129;village_mkt_flows_to_other_destinations                                                             
21130;village_mkt_flows_to_other_destinations                                                             
21131;village_mkt_flows_to_other_destinations                                                             
21133;village_mkt_flows_to_other_destinations                                                             
21145;village_mkt_flows_to_other_destinations                                                             
21146;village_mkt_flows_to_other_destinations                                                             
21148;village_mkt_flows_to_other_destinations                                                             
21157;village_mkt_flows_to_other_destinations                                                             
23276;village_mkt_flows_to_other_destinations                                                             
36333;village_mkt_flows_to_other_destinations                                                             
37625;village_mkt_flows_to_other_destinations                                                             
37626;village_mkt_flows_to_other_destinations                                                             
37629;village_mkt_flows_to_other_destinations                                                             
37630;village_mkt_flows_to_other_destinations                                                             
37631;village_mkt_flows_to_other_destinations                                                             
37991;village_mkt_flows_to_other_destinations                                                             
37992;village_mkt_flows_to_other_destinations                                                             
37996;village_mkt_flows_to_other_destinations                                                             
37997;village_mkt_flows_to_other_destinations                                                             
37998;village_mkt_flows_to_other_destinations                                                             
38004;village_mkt_flows_to_other_destinations                                                             
38005;village_mkt_flows_to_other_destinations                                                             
38006;village_mkt_flows_to_other_destinations                                                             
38007;village_mkt_flows_to_other_destinations                                                             
38008;village_mkt_flows_to_other_destinations                                                             
