commodity_id;commodity_name;commodity_name_gen;commodity_category
8;Amaranthus (Alefu/Bulumbula)                                                                        ;Amaranthus                                        ;Leafy vegetable                                   
9;Jute (ayoyo) (bulvanka)                                                                             ;Jute                                              ;Leafy vegetable                                   
10;Rosell (Bra) (oseille / bitto)                                                                      ;Rosell                                            ;Leafy vegetable                                   
11;Cabbage                                                                                             ;Cabbage                                           ;Vegetable                                         
12;Eggplant (garden egg) (aubergine)                                                                   ;Eggplant                                          ;Vegetable                                         
13;Lettuce                                                                                             ;Lettuce                                           ;Leafy vegetable                                   
16;Tomato                                                                                              ;Tomato                                            ;Vegetable                                         
23;Orange                                                                                              ;Orange                                            ;Fruit                                             
26;Goat                                                                                                ;Goat                                              ;Livestock                                         
27;Cattle                                                                                              ;Cattle                                            ;Livestock                                         
29;Banana                                                                                              ;Banana                                            ;Fruit                                             
30;Sheep                                                                                               ;Sheep                                             ;Livestock                                         
40;Guinea fowl (Pintande)                                                                              ;Guinew fowl                                       ;Livestock                                         
48;Fish (fresh) (origin not specified)                                                                 ;Fish                                              ;Fish                                              
49;Pawpaw (papaya)                                                                                     ;Papaya                                            ;Fruit                                             
59;Pig                                                                                                 ;Pig                                               ;Livestock                                         
61;Pineapple                                                                                           ;Pineapple                                         ;Fruit                                             
71;Cow meat (beef)                                                                                     ;Cow meat                                          ;Meat                                              
72;Sheep meat                                                                                          ;Sheep meat                                        ;Meat                                              
76;Avocado (pear)                                                                                      ;Avocado                                           ;Vegetable                                         
84;Mango                                                                                               ;Mango                                             ;Fruit                                             
90;Cucumber                                                                                            ;Cucumber                                          ;Vegetable                                         
94;Parsley (percil)                                                                                    ;Parsley                                           ;Leafy vegetable                                   
96;Sweet pepper                                                                                        ;Sweet pepper                                      ;Vegetable                                         
97;Zucchini                                                                                            ;Zucchini                                          ;Vegetable                                         
98;Strawberry                                                                                          ;Strawberry                                        ;Fruit                                             
106;Onion leaves                                                                                        ;Onion leaves                                      ;Leafy vegetable                                   
109;Eggplant leaves (kumb vado)                                                                         ;Eggplant leaves                                   ;Leafy vegetable                                   
111;Tamarind leaves                                                                                     ;Tamarind leaves                                   ;Leafy vegetable                                   
144;Chicken                                                                                             ;Chicken                                           ;Livestock                                         
148;Beans leaves                                                                                        ;Beans leaves                                      ;Leafy vegetable                                   
150;Apple                                                                                               ;Apple                                             ;Fruit                                             
189;Celery                                                                                              ;Celery                                            ;Vegetable                                         
190;Cauliflower (chou-fleur)                                                                            ;Cauliflower                                       ;Vegetable                                         
191;Mint                                                                                                ;Mint                                              ;Leafy vegetable                                   
193;Broccoli                                                                                            ;Broccoli                                          ;Vegetable                                         
194;Spinach                                                                                             ;Spinach                                           ;Leafy vegetable                                   
196;Green bean (haricot)                                                                                ;Green bean                                        ;Legume                                            
206;Lemon                                                                                               ;Lemon                                             ;Fruit                                             
208;Chicken meat (origin not specified)                                                                 ;Chicken meat                                      ;Meat                                              
209;Chicken meat (local)                                                                                ;Chicken meat                                      ;Meat                                              
210;Chicken meat (imported)                                                                             ;Chicken meat                                      ;Meat                                              
213;Spring onion                                                                                        ;Spring onion                                      ;Vegetable                                         
214;Fish (fresh) (imported)                                                                             ;Fish                                              ;Fish                                              
221;Donkey meat                                                                                         ;Donkey meat                                       ;Meat                                              
223;Pork meat                                                                                           ;Pork meat                                         ;Meat                                              
242;Fish (fresh, local)                                                                                 ;Fish                                              ;Fish                                              
248;Fish (not specified)                                                                                ;Fish                                              ;Fish                                              
250;Goat meat                                                                                           ;Goat meat                                         ;Meat                                              
262;Okra leaves                                                                                         ;Okra leaves                                       ;Leafy vegetable                                   
269;Leeks                                                                                               ;Leeks                                             ;Vegetable                                         
270;Huckleberry                                                                                         ;Huckleberry                                       ;Leafy vegetable                                   
273;Bitter leaf                                                                                         ;Bitter leaf                                       ;Leafy vegetable                                   
283;Green spice (consising of basil, parsley and celery)                                                ;Green spice                                       ;Leafy vegetable                                   
1;Maize                                                                                               ;Maize                                             ;Cereal                                            
2;Rice (origin not specified)                                                                         ;Rice                                              ;Cereal                                            
3;Soybean                                                                                             ;Soybean                                           ;Legume                                            
4;Millet                                                                                              ;Millet                                            ;Cereal                                            
5;Sorghum                                                                                             ;Sorghum                                           ;Cereal                                            
17;Groundnut (processing level not specified)                                                          ;Groundnut                                         ;Legume                                            
25;Bean                                                                                                ;Bean                                              ;Legume                                            
35;Cowpea                                                                                              ;Cowpea                                            ;Legume                                            
43;Maize flour                                                                                         ;Maize flour                                       ;Cereal                                            
52;Okra (dry)                                                                                          ;Okra                                              ;Vegetable                                         
63;Wheat                                                                                               ;Wheat                                             ;Cereal                                            
64;Wheat flour                                                                                         ;Wheat flour                                       ;Cereal                                            
85;Dawadawa (Néré)                                                                                     ;Dawadawa                                          ;Nut and seed                                      
91;Garlic                                                                                              ;Garlic                                            ;Vegetable                                         
93;Okra flour                                                                                          ;Okra flour                                        ;Vegetable                                         
99;Cashew nut                                                                                          ;Cashew nut                                        ;Nut and seed                                      
146;Dawadawa (Néré) powder                                                                              ;Dawadawa                                          ;Nut and seed                                      
151;Tomato (dry)                                                                                        ;Tomato                                            ;Vegetable                                         
162;Sesame                                                                                              ;Sesame                                            ;Nut and seed                                      
184;Bambara beans                                                                                       ;Bambara beans                                     ;Legume                                            
186;Pigeon pea                                                                                          ;Pigeon pea                                        ;Legume                                            
188;Pea                                                                                                 ;Pea                                               ;Legume                                            
198;Fonio                                                                                               ;Fonio                                             ;Cereal                                            
199;Tiger nut (souchet comestible)                                                                      ;Tiger nut                                         ;Legume                                            
202;Agushie                                                                                             ;Agushie                                           ;Nut and seed                                      
211;Rice (local)                                                                                        ;Rice                                              ;Cereal                                            
212;Rice (imported)                                                                                     ;Rice                                              ;Cereal                                            
