id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
446;Bafut                                                                                               ;Settlement                                        ;city region 50km                                  ;14.895913;4218;3.540985572;19211;Bafut                                             ;Urban                                             ;city region 50km                                  ;0.312694444
470;Pouss                                                                                               ;Settlement                                        ;national                                          ;763.912448;2868;4.55603066;27526;Pouss                                             ;Urban                                             ;national                                          ;17.78168611
382;Njinikom                                                                                            ;Settlement                                        ;city region 50km                                  ;34.605287;4071;4.029679141;19843;Njinikom                                          ;Urban                                             ;city region 50km                                  ;0.980375
667;Ndikinim?ki                                                                                         ;Settlement                                        ;national                                          ;152.490742;5769;3.953713001;13614;Ndikinimeki                                       ;Urban                                             ;national                                          ;2.317061111
487;Obala                                                                                               ;Settlement                                        ;national                                          ;250.897248;1562;7.056549132;48220;Obala                                             ;Urban                                             ;national                                          ;4.022319444
492;Ebebiy?n                                                                                            ;Settlement                                        ;national                                          ;441.142833;6623;3.794744268;11664;Ebebiyin/Kye Ossi [CMR]                           ;Urban                                             ;national                                          ;7.737277778
519;Baham                                                                                               ;Settlement                                        ;city region 100km                                 ;73.357346;8040;5.506000079;0;Bandjoun                                          ;Rural                                             ;national                                          ;1.193025
417;Nseni                                                                                               ;Settlement                                        ;city region 100km                                 ;63.54387;835;5.348933557;84856;Kumbo                                             ;Rural                                             ;national                                          ;1.71155
438;Carrefour zefa II                                                                                   ;Settlement                                        ;city region 50km                                  ;34.362639;6447;1.093295194;12001;Babungo                                           ;Urban                                             ;city region 50km                                  ;0.791911111
131;Chingo                                                                                              ;Settlement                                        ;city region 50km                                  ;44.091222;5889;3.784342478;13294;Babessi                                           ;Rural                                             ;city region 50km                                  ;1.194297222
214;Mbawere                                                                                             ;Settlement                                        ;city region 50km                                  ;48.912739;5889;7.255602908;13294;Babessi                                           ;Rural                                             ;city region 50km                                  ;1.459083333
238;Memb?                                                                                               ;Settlement                                        ;city region 50km                                  ;45.936789;5889;4.203598345;13294;Babessi                                           ;Rural                                             ;city region 50km                                  ;1.21915
322;Tohoti                                                                                              ;Settlement                                        ;city region 50km                                  ;49.871448;5889;4.747297795;13294;Babessi                                           ;Rural                                             ;city region 50km                                  ;1.321605556
656;Babessi                                                                                             ;Settlement                                        ;city region 50km                                  ;48.011451;5889;0.442616136;13294;Babessi                                           ;Urban                                             ;city region 50km                                  ;1.125308333
22;Bamali Junction                                                                                     ;Settlement                                        ;city region 50km                                  ;27.831532;5829;1.550129361;13463;Bamessing                                         ;Urban                                             ;city region 50km                                  ;0.566905556
25;Sub Palace Akeh                                                                                     ;Settlement                                        ;city region 50km                                  ;26.895291;5829;0.509248023;13463;Bamessing                                         ;Urban                                             ;city region 50km                                  ;0.549766667
26;3 Corners Bamali                                                                                    ;Settlement                                        ;city region 50km                                  ;29.849019;5829;4.907567679;13463;Bamessing                                         ;Rural                                             ;city region 50km                                  ;0.634055556
441;Ngwalang                                                                                            ;Settlement                                        ;city region 50km                                  ;26.20964;5829;0.178058175;13463;Bamessing                                         ;Urban                                             ;city region 50km                                  ;0.539341667
442;Nsangtah                                                                                            ;Settlement                                        ;city region 50km                                  ;25.56416;5829;0.967003055;13463;Bamessing                                         ;Urban                                             ;city region 50km                                  ;0.525758333
74;Awing                                                                                               ;Settlement                                        ;city region 50km                                  ;17.477514;5457;0.309728598;14504;Awing                                             ;Urban                                             ;city region 50km                                  ;0.592766667
90;Bali Gha                                                                                            ;Settlement                                        ;city region 50km                                  ;26.744169;5457;10.04232808;14504;Awing                                             ;Rural                                             ;city region 50km                                  ;0.639533333
77;Baba I                                                                                              ;Settlement                                        ;city region 50km                                  ;39.050933;5030;2.335401653;15959;Baba 1                                            ;Urban                                             ;city region 50km                                  ;1.245730556
