id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
773;Kama                                                                                                ;village within greater Bamako                     ;city region 50km                                  ;16.846235;26;20.42664261;2781796;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.423561111
731;N'Gabakoro-Droit                                                                                    ;town within greater Bamako                        ;city region 50km                                  ;17.093542;26;20.75642366;2781800;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.340980556
706;Kogninimi                                                                                           ;hamlet within greater Bamako                      ;city region 50km                                  ;17.975168;26;21.3230245;2781804;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.532069444
973;Dialakorobougou                                                                                     ;village within greater Bamako                     ;city region 50km                                  ;18.805167;26;21.61349443;2781808;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.339383333
705;Kobala                                                                                              ;village within greater Bamako                     ;city region 50km                                  ;18.8868;26;22.18078418;2781810;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.5477
771;Mounoumounoumba                                                                                     ;village within greater Bamako                     ;city region 50km                                  ;20.280763;26;23.94467242;2781734;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.445422222
665;Banakoro                                                                                            ;village within greater Bamako                     ;city region 50km                                  ;20.366733;6224;7.768622781;12476;Sanankoroba                                       ;Rural                                             ;city region 50km                                  ;0.35065
727;Kambila                                                                                             ;town within greater Bamako                        ;city region 50km                                  ;20.414635;8953;7.054794846;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.360680556
797;Sirababougou                                                                                        ;village within greater Bamako                     ;city region 50km                                  ;20.697501;8953;15.80184672;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.704216667
1061;Banco (near checkpoint Kabala)                                                                      ;Villlage outside greater Bamako                   ;city region 50km                                  ;20.924208;8954;11.91813094;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.469358333
1025;Kola (Koulikouro)                                                                                   ;Town outside greater Bamako                       ;city region 50km                                  ;21.045516;8953;23.52668756;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.66375
724;Doubabougou                                                                                         ;town within greater Bamako                        ;city region 50km                                  ;21.295172;8953;13.22271843;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.7298
772;Sala                                                                                                ;town within greater Bamako                        ;city region 50km                                  ;21.506517;26;25.01254223;2781734;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.465297222
803;Zougoume                                                                                            ;village within greater Bamako                     ;city region 50km                                  ;21.617344;6224;10.29049019;12476;Sanankoroba                                       ;Rural                                             ;city region 50km                                  ;0.589036111
1062;San-P?dro (C?te d'Ivoire)                                                                           ;City abroad                                       ;ECOWAS                                            ;883.596679;415;1.178940842;169513;San-Pedro                                         ;Urban                                             ;ECOWAS                                            ;16.63338333
840;Takoradi (Ghana)                                                                                    ;City abroad                                       ;ECOWAS                                            ;1096.978276;8207;2.693898349;679797;Takoradi                                          ;Urban                                             ;ECOWAS_international                              ;17.74194722
819;Niger                                                                                               ;Foreign country                                   ;ECOWAS                                            ;1177.019093;;;;;;ECOWAS                                            ;
1019;Tingol?                                                                                             ;Town outside greater Bamako                       ;city region 100km                                 ;93.247748;1680;20.5912093;45206;Fana                                              ;Rural                                             ;national                                          ;1.290077778
375;Pogo                                                                                                ;Town outside greater Bamako                       ;national                                          ;265.331036;5553;21.73166441;14214;Sansanding                                        ;Rural                                             ;national                                          ;4.467155556
343;Nampasso                                                                                            ;Town outside greater Bamako                       ;national                                          ;275.181638;2951;31.7553487;26878;Bla                                               ;Rural                                             ;national                                          ;4.725616667
31;Baramba                                                                                             ;Town outside greater Bamako                       ;national                                          ;276.464851;355;22.41330966;198426;Koutiala                                          ;Rural                                             ;national                                          ;4.982163889
347;Natien                                                                                              ;Town outside greater Bamako                       ;national                                          ;276.622833;235;16.78338306;279161;Sikasso                                           ;Rural                                             ;national                                          ;4.204241667
315;Missirikoro                                                                                         ;Town outside greater Bamako                       ;national                                          ;288.91443;235;8.86938469;279161;Sikasso                                           ;Urban                                             ;national                                          ;4.635183333
346;Nara                                                                                                ;Town outside greater Bamako                       ;national                                          ;289.885836;4313;1.015293167;18780;Nara                                              ;Urban                                             ;national                                          ;6.932175
281;Koundian                                                                                            ;Town outside greater Bamako                       ;national                                          ;297.058572;6386;61.71691739;12135;Tabakoto                                          ;Rural                                             ;national                                          ;7.268483333
77;Bolibana                                                                                            ;Town outside greater Bamako                       ;national                                          ;298.240398;1226;19.76888942;60432;Niono-Socoura                                     ;Rural                                             ;national                                          ;5.112194444
337;N'Toba                                                                                              ;Town outside greater Bamako                       ;national                                          ;298.512841;874;45.08190148;82135;San                                               ;Rural                                             ;national                                          ;4.978216667
206;Goundara                                                                                            ;Town outside greater Bamako                       ;national                                          ;299.603518;5702;59.89514845;13810;Mahina                                            ;Rural                                             ;national                                          ;7.63115
183;Finkolo (in Danderesso, Sikasso)                                                                    ;Town outside greater Bamako                       ;national                                          ;310.737346;235;19.33223026;279161;Sikasso                                           ;Rural                                             ;national                                          ;4.664811111
34;Diabaly                                                                                             ;Town outside greater Bamako                       ;national                                          ;310.905104;4630;2.532390055;17312;Diabaly                                           ;Urban                                             ;national                                          ;5.446955556
468;Toura-Kalanga                                                                                       ;Town outside greater Bamako                       ;national                                          ;321.180365;7520;52.68484984;10107;Marena                                            ;Rural                                             ;national                                          ;5.741119444
41;Adiora                                                                                              ;Town outside greater Bamako                       ;national                                          ;819.947629;659;132.355311;105890;Gao                                               ;Rural                                             ;national                                          ;15.871975
743;Ntiafadou                                                                                           ;village within greater Bamako                     ;city region 50km                                  ;19.682231;8953;10.26672608;2781813;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.612383333
792;Djidianda                                                                                           ;village within greater Bamako                     ;city region 50km                                  ;21.62518;8954;13.72552933;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.693561111
940;Dral (Kati)                                                                                         ;Villlage outside greater Bamako                   ;city region 50km                                  ;22.44677;8953;9.240384464;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.386097222
932;Baguin?da                                                                                           ;Villlage outside greater Bamako                   ;city region 50km                                  ;22.752205;26;26.06978711;2781734;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.546572222
730;Mountougoula                                                                                        ;town within greater Bamako                        ;city region 50km                                  ;23.596909;6224;19.39563682;12476;Sanankoroba                                       ;Rural                                             ;city region 50km                                  ;0.523919444
738;S?riwala                                                                                            ;village within greater Bamako                     ;city region 50km                                  ;23.694381;8953;20.04867384;2781744;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.679986111
987;Mamaribougou (For checkpoint Kati)                                                                  ;Village outside greater Bamako                    ;city region 50km                                  ;24.200061;8953;16.28865903;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.841802778
793;Kl?ladji                                                                                            ;village within greater Bamako                     ;city region 50km                                  ;24.235359;8954;16.16542012;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.806458333
787;Kenenkoun                                                                                           ;town within greater Bamako                        ;city region 50km                                  ;24.29312;8954;13.35062186;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.787547222
789;Farabana                                                                                            ;village within greater Bamako                     ;city region 50km                                  ;24.599453;8954;12.12728858;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.459091667
746;Soribougou (in Kalban-Coro, Kati)                                                                   ;town within greater Bamako                        ;city region 50km                                  ;25.29729;8954;12.80560249;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.480669444
786;Nkomi                                                                                               ;village within greater Bamako                     ;city region 50km                                  ;25.385094;8954;16.18141552;0;Kanadjiguila                                      ;Rural                                             ;city region 50km                                  ;0.830641667
777;Kodialani (in Safo, Kalban-Coro, Kati)                                                              ;hamlet within greater Bamako                      ;city region 50km                                  ;25.490664;8953;22.60009797;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.745311111
663;Kobalakoro                                                                                          ;town within greater Bamako                        ;city region 50km                                  ;25.866582;6224;28.2979764;12476;Sanankoroba                                       ;Rural                                             ;city region 50km                                  ;0.417322222
717;Chodo                                                                                               ;village within greater Bamako                     ;city region 50km                                  ;26.138367;8953;24.81014712;2781744;Bamako                                            ;Rural                                             ;city region 50km                                  ;0.831419444
739;Donioumana                                                                                          ;village within greater Bamako                     ;city region 50km                                  ;26.152249;8953;21.70361344;0;Kati                                              ;Rural                                             ;city region 50km                                  ;0.762119444
1008;Kab?                                                                                                ;Village outside greater Bamako                    ;city region 50km                                  ;26.801899;6224;7.057061504;12476;Sanankoroba                                       ;Rural                                             ;city region 50km                                  ;0.588652778
