id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
210;Dawelgu                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;29.734092;2737;18.92366782;28860;Kombissiri                                        ;Rural                                             ;city region 50km                                  ;0.657652778
211;Diepo                                                                                               ;Locations within Greater Ouagadougou              ;city region 50km                                  ;25.21767;2737;16.82519226;28860;Kombissiri                                        ;Rural                                             ;city region 50km                                  ;0.562344444
134;Bidougou                                                                                            ;Locations within Greater Ouagadougou              ;city region 50km                                  ;22.861948;31;25.88637987;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.717913889
135;Bigtogo                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;18.507625;31;20.87788832;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.560133333
139;Goupana                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;28.506336;31;31.33658882;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.645536111
144;Nedego                                                                                              ;Locations within Greater Ouagadougou              ;city region 50km                                  ;24.119733;31;27.14728728;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.703875
145;Ouavougue                                                                                           ;Locations within Greater Ouagadougou              ;city region 50km                                  ;22.267288;31;25.28328669;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.606905556
146;Pabr?                                                                                               ;Locations within Greater Ouagadougou              ;city region 50km                                  ;18.006523;31;20.97027162;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.438522222
153;Zibako                                                                                              ;Locations within Greater Ouagadougou              ;city region 50km                                  ;23.847045;31;26.87107475;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.672847222
154;Zouma                                                                                               ;Locations within Greater Ouagadougou              ;city region 50km                                  ;27.033376;31;29.95301774;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.635575
736;Nioniogo                                                                                            ;cities and towns outside Greater Ouagadougou      ;city region 50km                                  ;24.390242;31;27.13902373;2299007;Ouagadougou                                       ;Rural                                             ;city region 50km                                  ;0.479344444
675;S?n?gal                                                                                             ;foreign country                                   ;ECOWAS                                            ;1465.057719;;;;;;ECOWAS_international                              ;26.40241667
870;Guinea                                                                                              ;Foreign country                                   ;ECOWAS                                            ;1081.280408;;;;;;ECOWAS_international                              ;19.12455
284;Kaya                                                                                                ;cities and towns outside Greater Ouagadougou      ;city region 100km                                 ;92.79136;2529;1.681218756;31080;Kaya                                              ;Urban                                             ;national                                          ;1.569077778
848;Garitenga                                                                                           ;                                                  ;city region 50km                                  ;47.141187;7307;29.18937616;10412;Bokin                                             ;Rural                                             ;city region 50km                                  ;1.171602778
235;Bantogdo                                                                                            ;Locations within Greater Ouagadougou              ;city region 50km                                  ;47.233756;5528;9.186860197;14302;Kindi                                             ;Rural                                             ;city region 50km                                  ;1.177975
237;Bouanga                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;42.489919;5528;13.60624369;14302;Kindi                                             ;Rural                                             ;city region 50km                                  ;0.895538889
241;Gula                                                                                                ;Locations within Greater Ouagadougou              ;city region 50km                                  ;34.928583;5528;21.11305863;14302;Kindi                                             ;Rural                                             ;city region 50km                                  ;0.736811111
251;Zoundri                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;42.175035;5528;13.87184702;14302;Kindi                                             ;Rural                                             ;city region 50km                                  ;0.948580556
28;Lougbisse                                                                                           ;Locations within Greater Ouagadougou              ;city region 50km                                  ;21.201927;5520;8.32055593;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.556958333
30;Bangma                                                                                              ;Locations within Greater Ouagadougou              ;city region 50km                                  ;25.546776;5520;15.37206205;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.693422222
32;Dawanegomd                                                                                          ;Locations within Greater Ouagadougou              ;city region 50km                                  ;23.505506;5520;14.3178484;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.580344444
35;Goby                                                                                                ;Locations within Greater Ouagadougou              ;city region 50km                                  ;20.227986;5520;15.66560181;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.476736111
36;Gogho                                                                                               ;Locations within Greater Ouagadougou              ;city region 50km                                  ;18.692117;5520;9.633406352;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.445533333
37;Goumsi                                                                                              ;Locations within Greater Ouagadougou              ;city region 50km                                  ;27.081952;5520;16.0350234;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.650391667
39;Kalzi                                                                                               ;Locations within Greater Ouagadougou              ;city region 50km                                  ;30.152127;5520;18.82626958;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.760886111
44;Komsilga                                                                                            ;Locations within Greater Ouagadougou              ;city region 50km                                  ;23.633804;5520;12.61314847;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.513877778
46;Pammonghin                                                                                          ;Locations within Greater Ouagadougou              ;city region 50km                                  ;22.238867;5520;19.98520217;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.389333333
51;Singdin                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;28.845466;5520;18.81361464;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.723130556
52;Talfeoumega                                                                                         ;Locations within Greater Ouagadougou              ;city region 50km                                  ;25.244453;5520;21.01688397;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.467863889
53;Tampouy                                                                                             ;Locations within Greater Ouagadougou              ;city region 50km                                  ;32.134884;5520;16.85386403;14338;Tanghin-Dassouri                                  ;Rural                                             ;city region 50km                                  ;0.811352778
