id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
1067;Nyolugu                                                                                             ;;city region 50km                                  ;34.753316;2166;20.78996466;35501;Savelugu                                          ;Rural                                             ;city region 50km                                  ;0.684613889
1068;Zoggo                                                                                               ;;city region 50km                                  ;32.490167;2166;12.51764954;35501;Savelugu                                          ;Rural                                             ;city region 50km                                  ;0.565202778
1069;Tampion                                                                                             ;;city region 50km                                  ;27.538352;2166;17.44159125;35501;Savelugu                                          ;Rural                                             ;city region 50km                                  ;0.528827778
1070;Daganga                                                                                             ;;city region 50km                                  ;35.791971;2166;31.84091186;35501;Savelugu                                          ;Rural                                             ;city region 50km                                  ;1.0617
8;Yekura-Fisila                                                                                       ;;city region 50km                                  ;15.52782;212;17.49735348;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.303838889
9;Kurubanyili                                                                                         ;;city region 50km                                  ;17.954273;212;19.82089851;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.308005556
10;Jabangyili                                                                                          ;;city region 50km                                  ;16.524865;212;18.3751408;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.276541667
11;Changyili                                                                                           ;;city region 50km                                  ;15.907239;212;17.55382216;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.255330556
12;Adubiliyili                                                                                         ;;city region 50km                                  ;15.057739;212;16.70425077;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.226122222
23;Gbinjari                                                                                            ;;city region 50km                                  ;14.803071;212;16.06353332;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.3011
26;Nafaram                                                                                             ;;city region 50km                                  ;15.317482;212;15.88220136;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.344352778
67;Sugashie (south of Tamale)                                                                          ;;city region 50km                                  ;12.798489;212;15.12575246;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.312644444
77;Zamzugu                                                                                             ;;city region 50km                                  ;18.591379;212;19.9177928;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.370111111
81;Tunayili (south of Nyankpala)                                                                       ;;city region 50km                                  ;15.257534;212;16.0711677;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.341625
93;Dindo                                                                                               ;;city region 50km                                  ;16.278595;212;16.30763512;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.343972222
94;Yipelinayili                                                                                        ;;city region 50km                                  ;16.673636;212;16.53021494;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.371902778
95;Yepalsi                                                                                             ;;city region 50km                                  ;16.492825;212;16.10539949;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.352175
97;Balinkpen                                                                                           ;;city region 50km                                  ;16.345132;212;15.75899244;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.380155556
98;Nyorun                                                                                              ;;city region 50km                                  ;17.461907;212;16.72909806;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.399761111
99;Tansheigu                                                                                           ;;city region 50km                                  ;16.655858;212;15.60694768;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.528577778
100;Gun                                                                                                 ;;city region 50km                                  ;18.157712;212;17.04993881;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.548975
150;Kunjakwarri                                                                                         ;;city region 50km                                  ;15.318209;212;17.28404903;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.444155556
151;Gora                                                                                                ;;city region 50km                                  ;15.595784;212;17.43711628;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.264780556
158;Jolo                                                                                                ;;city region 50km                                  ;13.403319;212;15.35169895;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.375630556
160;Sinsablegwini                                                                                       ;;city region 50km                                  ;19.962826;212;19.74708719;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;
161;Takpili                                                                                             ;;city region 50km                                  ;31.402964;212;32.34184939;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.673011111
173;Juni                                                                                                ;;city region 50km                                  ;25.332478;212;26.07722126;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.415988889
174;Dagoyili                                                                                            ;;city region 50km                                  ;22.825201;212;23.47285344;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.449672222
175;Fita                                                                                                ;;city region 50km                                  ;21.090121;212;21.91392782;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.414477778
176;Cheko                                                                                               ;;city region 50km                                  ;19.495323;212;20.60472962;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.353708333
179;Tuya                                                                                                ;;city region 50km                                  ;15.605826;212;16.08926206;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.2194
194;Lahagu                                                                                              ;;city region 50km                                  ;14.949785;212;16.39707319;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.261688889
205;Kasuridaborshe                                                                                      ;;city region 50km                                  ;33.39642;212;32.32843679;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.887086111
206;Wantugu (west of Tamale)                                                                            ;;city region 50km                                  ;34.99948;212;34.27303822;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.694777778
245;Nyerizegu                                                                                           ;;city region 50km                                  ;24.181846;212;23.16348078;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.628011111
893;Gou                                                                                                 ;;city region 50km                                  ;43.670669;212;44.78377623;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.918680556
894;Kito                                                                                                ;;city region 50km                                  ;41.378733;212;42.6546889;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.809811111
895;Gbarni                                                                                              ;;city region 50km                                  ;38.072242;212;39.62846882;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.482063889
896;Wawaa                                                                                               ;;city region 50km                                  ;36.278968;212;38.15565397;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.702238889
897;Konya                                                                                               ;;city region 50km                                  ;40.843341;212;43.02170021;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;1.152602778
898;Yilligi                                                                                             ;;city region 50km                                  ;41.730979;212;43.8357122;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.990419444
899;Yaaboguni                                                                                           ;;city region 50km                                  ;26.604353;212;28.48123252;312881;Tamale                                            ;Rural                                             ;city region 50km                                  ;0.443716667
