sheet_number;year;season;daytime;no_days
Bda 01A                                           ;2017;lean                                              ;day                                               ;5
Bda 02A                                           ;2017;lean                                              ;day                                               ;5
Bda 06A                                           ;2017;lean                                              ;day                                               ;5
Bda 09A                                           ;2017;lean                                              ;day                                               ;5
Bda 10A                                           ;2017;lean                                              ;day                                               ;5
Bda 23A                                           ;2017;lean                                              ;day                                               ;5
Bda 25A                                           ;2017;lean                                              ;day                                               ;5
Bda 26A                                           ;2017;lean                                              ;day                                               ;5
Bda 30A                                           ;2017;lean                                              ;day                                               ;5
Bda 04A                                           ;2017;lean                                              ;night                                             ;5
Bda 07A                                           ;2017;lean                                              ;night                                             ;5
Bda 13A                                           ;2017;lean                                              ;night                                             ;5
Bda 18A                                           ;2017;lean                                              ;day                                               ;5
Bda 20A                                           ;2017;lean                                              ;night                                             ;5
Bda 21A                                           ;2017;lean                                              ;night                                             ;5
Bda 29A                                           ;2017;lean                                              ;day                                               ;5
Bda 03A                                           ;2017;lean                                              ;night                                             ;5
Bda 05A                                           ;2017;lean                                              ;day                                               ;5
Bda 08A                                           ;2017;lean                                              ;day                                               ;5
Bda 11A                                           ;2017;lean                                              ;day                                               ;5
Bda 12A                                           ;2017;lean                                              ;day                                               ;5
Bda 14A                                           ;2017;lean                                              ;day                                               ;5
Bda 15A                                           ;2017;lean                                              ;day                                               ;5
Bda 16A                                           ;2017;lean                                              ;day                                               ;5
Bda 17A                                           ;2017;lean                                              ;day                                               ;5
Bda 19A                                           ;2017;lean                                              ;day                                               ;5
Bda 22A                                           ;2017;lean                                              ;day                                               ;5
Bda 24A                                           ;2017;lean                                              ;night                                             ;5
Bda 27A                                           ;2017;lean                                              ;day                                               ;5
Bda 28A                                           ;2017;lean                                              ;day                                               ;5
Bda 31A                                           ;2017;lean                                              ;day                                               ;5
Bda 01B                                           ;2017;rainy                                             ;day                                               ;5
Bda 02B                                           ;2017;rainy                                             ;day                                               ;5
Bda 03B                                           ;2017;rainy                                             ;day                                               ;5
Bda 08B                                           ;2017;rainy                                             ;day                                               ;5
Bda 09B                                           ;2017;rainy                                             ;day                                               ;5
Bda 10B                                           ;2017;rainy                                             ;day                                               ;5
Bda 11B                                           ;2017;rainy                                             ;day                                               ;5
Bda 13B                                           ;2017;rainy                                             ;day                                               ;5
Bda 14B                                           ;2017;rainy                                             ;day                                               ;5
Bda 16B                                           ;2017;rainy                                             ;day                                               ;5
Bda 17B                                           ;2017;rainy                                             ;day                                               ;5
Bda 18B                                           ;2017;rainy                                             ;day                                               ;5
Bda 21B                                           ;2017;rainy                                             ;day                                               ;5
Bda 22B                                           ;2017;rainy                                             ;day                                               ;8
Bda 23B                                           ;2017;rainy                                             ;day                                               ;8
Bda 24B                                           ;2017;rainy                                             ;day                                               ;8
Bda 30B                                           ;2017;rainy                                             ;day                                               ;8
Bda 31B                                           ;2017;rainy                                             ;day                                               ;8
Bda 32B                                           ;2017;rainy                                             ;day                                               ;8
Bda 33B                                           ;2017;rainy                                             ;day                                               ;8
Bda 36B                                           ;2017;rainy                                             ;day                                               ;5
Bda 40B                                           ;2017;rainy                                             ;day                                               ;5
Bda 41B                                           ;2017;rainy                                             ;day                                               ;5
Bda 04B                                           ;2017;rainy                                             ;night                                             ;7
Bda 05B                                           ;2017;rainy                                             ;night                                             ;8
Bda 06B                                           ;2017;rainy                                             ;night                                             ;8
Bda 07B                                           ;2017;rainy                                             ;night                                             ;6
Bda 12B                                           ;2017;rainy                                             ;night                                             ;5
Bda 15B                                           ;2017;rainy                                             ;night                                             ;8
Bda 19B                                           ;2017;rainy                                             ;day                                               ;8
Bda 20B                                           ;2017;rainy                                             ;day                                               ;8
Bda 25B                                           ;2017;rainy                                             ;day                                               ;8
Bda 39B                                           ;2017;rainy                                             ;night                                             ;8
Bda 42B                                           ;2017;rainy                                             ;night                                             ;8
Bda 26B                                           ;2017;rainy                                             ;day                                               ;8
