sheet_number;year;season;daytime;no_days
01BA                                              ;2015;peak                                              ;day                                               ;7
02BA                                              ;2015;peak                                              ;day                                               ;7
03BA                                              ;2015;peak                                              ;day                                               ;7
04BA                                              ;2015;peak                                              ;day                                               ;7
05BA                                              ;2015;peak                                              ;day                                               ;7
06BA                                              ;2015;peak                                              ;day                                               ;7
07BA                                              ;2015;peak                                              ;day                                               ;7
08BA                                              ;2015;peak                                              ;day                                               ;7
09BA                                              ;2015;peak                                              ;night                                             ;7
10BA                                              ;2015;peak                                              ;day                                               ;7
11BA                                              ;2015;peak                                              ;night                                             ;7
12BA                                              ;2015;peak                                              ;day                                               ;7
13BA                                              ;2015;peak                                              ;day                                               ;7
14BA                                              ;2015;peak                                              ;day                                               ;7
15BA                                              ;2015;peak                                              ;day                                               ;7
16BA                                              ;2015;peak                                              ;night                                             ;7
17BA                                              ;2015;peak                                              ;night                                             ;7
18BA                                              ;2015;peak                                              ;day                                               ;7
19BA                                              ;2015;peak                                              ;day                                               ;7
20BA                                              ;2015;peak                                              ;day                                               ;7
21BA                                              ;2015;peak                                              ;day                                               ;7
23BA                                              ;2015;peak                                              ;day                                               ;7
24BA                                              ;2015;peak                                              ;day                                               ;7
25BA                                              ;2015;peak                                              ;night                                             ;7
26BA                                              ;2015;peak                                              ;night                                             ;7
27BA                                              ;2015;peak                                              ;night                                             ;7
28BA                                              ;2015;peak                                              ;day                                               ;7
29BA                                              ;2015;peak                                              ;day                                               ;7
30BA                                              ;2015;peak                                              ;night                                             ;7
31BA                                              ;2015;peak                                              ;night                                             ;7
32BA                                              ;2015;peak                                              ;day                                               ;7
33BA                                              ;2015;peak                                              ;day                                               ;7
34BA                                              ;2015;peak                                              ;day                                               ;7
35BA                                              ;2015;peak                                              ;night                                             ;7
36BA                                              ;2015;peak                                              ;night                                             ;7
37BA                                              ;2015;peak                                              ;day                                               ;7
38BA                                              ;2015;peak                                              ;day                                               ;7
09BB                                              ;2016;lean                                              ;day                                               ;8
10BB                                              ;2016;lean                                              ;day                                               ;8
11BB                                              ;2016;lean                                              ;day                                               ;8
12BB                                              ;2016;lean                                              ;day                                               ;8
13BB                                              ;2016;lean                                              ;night                                             ;8
14BB                                              ;2016;lean                                              ;night                                             ;8
15BB                                              ;2016;lean                                              ;day                                               ;8
16BB                                              ;2016;lean                                              ;day                                               ;8
17BB                                              ;2016;lean                                              ;day                                               ;8
18BB                                              ;2016;lean                                              ;day                                               ;8
19BB                                              ;2016;lean                                              ;night                                             ;8
20BB                                              ;2016;lean                                              ;night                                             ;8
21BB                                              ;2016;lean                                              ;day                                               ;8
22BB                                              ;2016;lean                                              ;day                                               ;8
23BB                                              ;2016;lean                                              ;day                                               ;8
24BB                                              ;2016;lean                                              ;day                                               ;8
25BB                                              ;2016;lean                                              ;day                                               ;8
26BB                                              ;2016;lean                                              ;day                                               ;8
27BB                                              ;2016;lean                                              ;day                                               ;8
28BB                                              ;2016;lean                                              ;day                                               ;8
29BB                                              ;2016;lean                                              ;night                                             ;8
30BB                                              ;2016;lean                                              ;night                                             ;8
31BB                                              ;2016;lean                                              ;night                                             ;8
32BB                                              ;2016;lean                                              ;day                                               ;8
33BB                                              ;2016;lean                                              ;day                                               ;8
34BB                                              ;2016;lean                                              ;day                                               ;8
35BB                                              ;2016;lean                                              ;day                                               ;8
36BB                                              ;2016;lean                                              ;night                                             ;8
37BB                                              ;2016;lean                                              ;night                                             ;8
38BB                                              ;2016;lean                                              ;day                                               ;8
39BB                                              ;2016;lean                                              ;day                                               ;8
40BB                                              ;2016;lean                                              ;day                                               ;8
41BB                                              ;2016;lean                                              ;day                                               ;8
42BB                                              ;2016;lean                                              ;day                                               ;8
43BB                                              ;2016;lean                                              ;day                                               ;8
44BB                                              ;2016;lean                                              ;day                                               ;8
45BB                                              ;2016;lean                                              ;night                                             ;8
46BB                                              ;2016;lean                                              ;night                                             ;8
47BB                                              ;2016;lean                                              ;night                                             ;8
48BB                                              ;2016;lean                                              ;day                                               ;8
49BB                                              ;2016;lean                                              ;day                                               ;8
50BB                                              ;2016;lean                                              ;day                                               ;8
51BB                                              ;2016;lean                                              ;day                                               ;8
52BB                                              ;2016;lean                                              ;day                                               ;8
53BB                                              ;2016;lean                                              ;day                                               ;8
54BB                                              ;2016;lean                                              ;day                                               ;8
20BC                                              ;2017;rainy                                             ;day                                               ;7
21BC                                              ;2017;rainy                                             ;day                                               ;7
22BC                                              ;2017;rainy                                             ;day                                               ;7
23BC                                              ;2017;rainy                                             ;day                                               ;7
24BC                                              ;2017;rainy                                             ;day                                               ;7
25BC                                              ;2017;rainy                                             ;day                                               ;7
26BC                                              ;2017;rainy                                             ;day                                               ;7
27BC                                              ;2017;rainy                                             ;day                                               ;7
28BC                                              ;2017;rainy                                             ;night                                             ;7
29BC                                              ;2017;rainy                                             ;night                                             ;7
30BC                                              ;2017;rainy                                             ;night                                             ;7
31BC                                              ;2017;rainy                                             ;day                                               ;7
32BC                                              ;2017;rainy                                             ;day                                               ;7
33BC                                              ;2017;rainy                                             ;day                                               ;7
34BC                                              ;2017;rainy                                             ;day                                               ;7
35BC                                              ;2017;rainy                                             ;day                                               ;7
36BC                                              ;2017;rainy                                             ;day                                               ;7
37BC                                              ;2017;rainy                                             ;day                                               ;7
38BC                                              ;2017;rainy                                             ;day                                               ;7
39BC                                              ;2017;rainy                                             ;day                                               ;7
40BC                                              ;2017;rainy                                             ;day                                               ;7
41BC                                              ;2017;rainy                                             ;day                                               ;7
42BC                                              ;2017;rainy                                             ;day                                               ;7
43BC                                              ;2017;rainy                                             ;night                                             ;7
44BC                                              ;2017;rainy                                             ;day                                               ;7
45BC                                              ;2017;rainy                                             ;day                                               ;7
46BC                                              ;2017;rainy                                             ;day                                               ;7
47BC                                              ;2017;rainy                                             ;day                                               ;7
48BC                                              ;2017;rainy                                             ;day                                               ;7
49BC                                              ;2017;rainy                                             ;day                                               ;7
50BC                                              ;2017;rainy                                             ;night                                             ;7
51BC                                              ;2017;rainy                                             ;day                                               ;7
52BC                                              ;2017;rainy                                             ;day                                               ;7
53BC                                              ;2017;rainy                                             ;day                                               ;7
54BC                                              ;2017;rainy                                             ;day                                               ;7
55BC                                              ;2017;rainy                                             ;day                                               ;7
56BC                                              ;2017;rainy                                             ;day                                               ;7
57BC                                              ;2017;rainy                                             ;day                                               ;7
58BC                                              ;2017;rainy                                             ;day                                               ;7
59BC                                              ;2017;rainy                                             ;day                                               ;7
60BC                                              ;2017;rainy                                             ;day                                               ;7
61BC                                              ;2017;rainy                                             ;day                                               ;7
62BC                                              ;2017;rainy                                             ;day                                               ;7
63BC                                              ;2017;rainy                                             ;day                                               ;7
64BC                                              ;2017;rainy                                             ;day                                               ;7
65BC                                              ;2017;rainy                                             ;day                                               ;7
66BC                                              ;2017;rainy                                             ;day                                               ;7
67BC                                              ;2017;rainy                                             ;day                                               ;7
68BC                                              ;2017;rainy                                             ;night                                             ;7
69BC                                              ;2017;rainy                                             ;night                                             ;7
70BC                                              ;2017;rainy                                             ;day                                               ;7
71BC                                              ;2017;rainy                                             ;day                                               ;7
72BC                                              ;2017;rainy                                             ;day                                               ;7
73BC                                              ;2017;rainy                                             ;day                                               ;7
74BC                                              ;2017;rainy                                             ;day                                               ;7
75BC                                              ;2017;rainy                                             ;day                                               ;7
76BC                                              ;2017;rainy                                             ;night                                             ;7
77BC                                              ;2017;rainy                                             ;night                                             ;7
78BC                                              ;2017;rainy                                             ;day                                               ;7
79BC                                              ;2017;rainy                                             ;day                                               ;7
80BC                                              ;2017;rainy                                             ;day                                               ;7
