sheet_number;year;season;daytime;no_days
10 OA                                             ;2014;lean                                              ;day                                               ;6
11 OA                                             ;2014;lean                                              ;day                                               ;6
12 OA                                             ;2014;lean                                              ;day                                               ;6
13 OA                                             ;2014;lean                                              ;day                                               ;6
14 OA                                             ;2014;lean                                              ;day                                               ;6
15 OA                                             ;2014;lean                                              ;day                                               ;6
17 OA                                             ;2014;lean                                              ;night                                             ;6
18 OA                                             ;2014;lean                                              ;day                                               ;6
19 OA                                             ;2014;lean                                              ;night                                             ;6
20 OA                                             ;2014;lean                                              ;night                                             ;6
21 OA                                             ;2014;lean                                              ;night                                             ;6
22 OA                                             ;2014;lean                                              ;day                                               ;6
23 OA                                             ;2014;lean                                              ;night                                             ;6
24 OA                                             ;2014;lean                                              ;day                                               ;6
25 OA                                             ;2014;lean                                              ;night                                             ;6
3 OA                                              ;2014;lean                                              ;night                                             ;6
33 OA                                             ;2014;lean                                              ;day                                               ;7
34 OA                                             ;2014;lean                                              ;day                                               ;7
4 OA                                              ;2014;lean                                              ;day                                               ;6
5 OA                                              ;2014;lean                                              ;day                                               ;6
6 OA                                              ;2014;lean                                              ;day                                               ;6
7 OA                                              ;2014;lean                                              ;day                                               ;6
8 OA                                              ;2014;lean                                              ;day                                               ;6
9 OA                                              ;2014;lean                                              ;day                                               ;6
1 OC                                              ;2014;peak                                              ;day                                               ;6
10 OC                                             ;2014;peak                                              ;day                                               ;6
11 OC                                             ;2014;peak                                              ;day                                               ;6
12 OC                                             ;2014;peak                                              ;day                                               ;6
13 OC                                             ;2014;peak                                              ;day                                               ;6
14 OC                                             ;2014;peak                                              ;day                                               ;6
19 OC                                             ;2014;peak                                              ;night                                             ;6
2 OC                                              ;2014;peak                                              ;day                                               ;6
20 OC                                             ;2014;peak                                              ;night                                             ;6
21 OC                                             ;2014;peak                                              ;night                                             ;6
22 OC                                             ;2014;peak                                              ;night                                             ;6
23 OC                                             ;2014;peak                                              ;day                                               ;6
24 OC                                             ;2014;peak                                              ;day                                               ;6
25 OC                                             ;2014;peak                                              ;day                                               ;6
26 OC                                             ;2014;peak                                              ;night                                             ;6
27 OC                                             ;2014;peak                                              ;day                                               ;6
28 OC                                             ;2014;peak                                              ;night                                             ;6
29 OC                                             ;2014;peak                                              ;night                                             ;6
3 OC                                              ;2014;peak                                              ;day                                               ;6
30 OC                                             ;2014;peak                                              ;night                                             ;6
4 OC                                              ;2014;peak                                              ;day                                               ;6
5 OC                                              ;2014;peak                                              ;day                                               ;6
7 OC                                              ;2014;peak                                              ;day                                               ;6
8 OC                                              ;2014;peak                                              ;day                                               ;6
9 OC                                              ;2014;peak                                              ;day                                               ;6
6 OC                                              ;2014;peak                                              ;day                                               ;6
1 OE                                              ;2016;rainy                                             ;day                                               ;8
10 OE                                             ;2016;rainy                                             ;night                                             ;8
11 OE                                             ;2016;rainy                                             ;day                                               ;8
12 OE                                             ;2016;rainy                                             ;day                                               ;8
13 OE                                             ;2016;rainy                                             ;day                                               ;8
14 OE                                             ;2016;rainy                                             ;night                                             ;8
15 OE                                             ;2016;rainy                                             ;day                                               ;8
16 OE                                             ;2016;rainy                                             ;day                                               ;8
17 OE                                             ;2016;rainy                                             ;day                                               ;8
18 OE                                             ;2016;rainy                                             ;night                                             ;8
19 OE                                             ;2016;rainy                                             ;day                                               ;8
2 OE                                              ;2016;rainy                                             ;day                                               ;8
20 OE                                             ;2016;rainy                                             ;day                                               ;8
21 OE                                             ;2016;rainy                                             ;day                                               ;8
22 OE                                             ;2016;rainy                                             ;day                                               ;8
23 OE                                             ;2016;rainy                                             ;day                                               ;8
24 OE                                             ;2016;rainy                                             ;day                                               ;8
25 OE                                             ;2016;rainy                                             ;day                                               ;8
26 OE                                             ;2016;rainy                                             ;night                                             ;8
27 OE                                             ;2016;rainy                                             ;night                                             ;8
28 OE                                             ;2016;rainy                                             ;day                                               ;8
29 OE                                             ;2016;rainy                                             ;day                                               ;8
3 OE                                              ;2016;rainy                                             ;day                                               ;8
30 OE                                             ;2016;rainy                                             ;night                                             ;8
31 OE                                             ;2016;rainy                                             ;night                                             ;8
32 OE                                             ;2016;rainy                                             ;day                                               ;8
33 OE                                             ;2016;rainy                                             ;day                                               ;8
34 OE                                             ;2016;rainy                                             ;day                                               ;8
35 OE                                             ;2016;rainy                                             ;day                                               ;8
36 OE                                             ;2016;rainy                                             ;night                                             ;8
37 OE                                             ;2016;rainy                                             ;night                                             ;8
38 OE                                             ;2016;rainy                                             ;night                                             ;8
4 OE                                              ;2016;rainy                                             ;day                                               ;8
5 OE                                              ;2016;rainy                                             ;night                                             ;8
6 OE                                              ;2016;rainy                                             ;night                                             ;8
7 OE                                              ;2016;rainy                                             ;day                                               ;8
8 OE                                              ;2016;rainy                                             ;day                                               ;8
9 OE                                              ;2016;rainy                                             ;night                                             ;8
11 OB                                             ;2014;revolution                                        ;day                                               ;4
12 OB                                             ;2014;revolution                                        ;day                                               ;4
13 OB                                             ;2014;revolution                                        ;day                                               ;2
14 OB                                             ;2014;revolution                                        ;day                                               ;4
15 OB                                             ;2014;revolution                                        ;day                                               ;4
16 OB                                             ;2014;revolution                                        ;day                                               ;4
17 OB                                             ;2014;revolution                                        ;night                                             ;3
18 OB                                             ;2014;revolution                                        ;day                                               ;4
19 OB                                             ;2014;revolution                                        ;day                                               ;4
2 OB                                              ;2014;revolution                                        ;night                                             ;3
21 OB                                             ;2014;revolution                                        ;day                                               ;4
