source_specification;source_specification_corrected
Abattoir                                                                                            ;Abattoir                                                                                            
ABATOIR                                                                                             ;Abattoir                                                                                            
Slaughterhouse(abbatoire)                                                                           ;Abattoir                                                                                            
Slaughterhouse(abbatoire                                                                            ;Abattoir                                                                                            
Slaughterhouse (abattoir)                                                                           ;Abattoir                                                                                            
slaughterhouse                                                                                      ;Abattoir                                                                                            
Divers Abatoire                                                                                     ;Abattoir                                                                                            
Battoir                                                                                             ;Abattoir                                                                                            
Abbatoir                                                                                            ;Abattoir                                                                                            
Abatoire                                                                                            ;Abattoir                                                                                            
factory                                                                                             ;Factory                                                                                             
Usine                                                                                               ;Factory                                                                                             
Factory(Grand Moulin)                                                                               ;Factory                                                                                             
CMDT(Usine)                                                                                         ;Factory                                                                                             
CMDT factory                                                                                        ;Factory                                                                                             
Farm                                                                                                ;Farm                                                                                                
F                                                                                                   ;Farm                                                                                                
other fields                                                                                        ;Farm                                                                                                
ranch                                                                                               ;Farm                                                                                                
garden                                                                                              ;Farm                                                                                                
field                                                                                               ;Farm                                                                                                
Champ                                                                                               ;Farm                                                                                                
poultry farm                                                                                        ;Farm                                                                                                
Verger                                                                                              ;Farm                                                                                                
Orchard(Verger)                                                                                     ;Farm                                                                                                
Gardin                                                                                              ;Farm                                                                                                
Ferme(in french)                                                                                    ;Farm                                                                                                
Ferme Avicole                                                                                       ;Farm                                                                                                
Ferme                                                                                               ;Farm                                                                                                
Farm(champs)                                                                                        ;Farm                                                                                                
Farm (champs)                                                                                       ;Farm                                                                                                
Forest                                                                                              ;Forest/Bush                                                                                         
Bush                                                                                                ;Forest/Bush                                                                                         
Wilds(Brousse)                                                                                      ;Forest/Bush                                                                                         
Wilds (Brousse)                                                                                     ;Forest/Bush                                                                                         
Wilds                                                                                               ;Forest/Bush                                                                                         
Wild                                                                                                ;Forest/Bush                                                                                         
Forêt                                                                                               ;Forest/Bush                                                                                         
Home                                                                                                ;Home                                                                                                
Home made                                                                                           ;Home                                                                                                
House                                                                                               ;Home                                                                                                
Home produce                                                                                        ;Home                                                                                                
Village                                                                                             ;Home                                                                                                
Home (Maison)                                                                                       ;Home                                                                                                
Family                                                                                              ;Home                                                                                                
Cattle market                                                                                       ;Livestock market                                                                                    
animal market                                                                                       ;Livestock market                                                                                    
Grabal                                                                                              ;Livestock market                                                                                    
Garbal                                                                                              ;Livestock market                                                                                    
Market                                                                                              ;Market                                                                                              
M                                                                                                   ;Market                                                                                              
Food market                                                                                         ;Market                                                                                              
congelcam                                                                                           ;Market                                                                                              
Foot market                                                                                         ;Market                                                                                              
Cold store                                                                                          ;Market                                                                                              
Fish point                                                                                          ;Market                                                                                              
Timber Market                                                                                       ;Market                                                                                              
Shop                                                                                                ;Market                                                                                              
Market(marché)                                                                                      ;Market                                                                                              
Market (marché)                                                                                     ;Market                                                                                              
march                                                                                               ;Market                                                                                              
Halles                                                                                              ;Market                                                                                              
big market                                                                                          ;Market                                                                                              
banana market                                                                                       ;Market                                                                                              
Mill                                                                                                ;Mill                                                                                                
rice mill                                                                                           ;Mill                                                                                                
Rice mail                                                                                           ;Mill                                                                                                
Grinding mill                                                                                       ;Mill                                                                                                
Moulin                                                                                              ;Mill                                                                                                
G M M                                                                                               ;Mill                                                                                                
Port                                                                                                ;Port                                                                                                
TEMA PORT                                                                                           ;Port                                                                                                
habour                                                                                              ;Port                                                                                                
